Location,Category
Chinatown / Lit Italy,body-work
Staten Island,others
Brooklyn,body-work
Midtown West,body-work
Brookly,body-work
Flushing Queens,body-work
Longwood,body-work
Union St & Northern Blvd,others
Williamsburg,body-work
Midtown,body-work
New York,body-work
New York City,hair-styling
Bensonhurst,others
Midtown East,hair-styling
Bronx,body-work
Manhattan,hair-styling
41st Rd flushing Queens NY 11355,others
Woodhaven,hair-styling
Midtown East,body-work
Midtown,others
Williamsburg,body-work
Midtown East,others
Midwood,body-work
Brooklyn,others
Marine Park,body-work
Westchester / Harrison,body-work
Flushing,body-work
New York,body-work
Midtown,body-work
Bayiside,others
Queens village,others
Midtown West,body-work
New York,body-work
Midtown,hair-styling
QUEENS NY,others
Brooklyn,others
Brooklyn,hair-styling
Westchester,others
westchester,hair-styling
Brooklyn,body-work
Flushing/Queens,body-work
Brooklyn,body-work
Ave U ( Gravesend ),body-work
"Queens ， long island ,BRooklyn",body-work
Financial District,body-work
Midtown East,hair-styling
Island Park,body-work
brooklyn,hair-styling
Midtown,others
Queens,body-work
Harrison NY,body-work
Westchester / Harrison,body-work
Brooklyn,others
New York,body-work
Flushing,body-work
East Harlem,body-work
queens,others
New York City,hair-styling
Midtown East,others
brooklyn and manhattan,body-work
Glen Cove,others
Brooklyn,body-work
Freeport,body-work
Corona,body-work
Flushing/Queens,body-work
Flushing,others
Fresh Meadows,others
Glen Cove,body-work
Crown heights,body-work
Queens,hair-styling
bronx,hair-styling
Brooklyn,hair-styling
Williamsburg,body-work
JACKSON HEIGTHS,body-work
Bedstuy/bushwick,others
Brooklyn,health-aid
Manhattan,body-work
Midtown West,body-work
Financial District,others
Upper West Side,others
Bronx/ Manhattan,hair-styling
Midtown,body-work
Staten Island,others
"fairfield co, CT",others
Marine Park,hair-styling
NYC,body-work
41st Rd flushing Queens NY 11355,body-work
Between w 56th St & 7 Ave,body-work
781 4avenue Brooklyn NY,body-work
Elmhurst,body-work
Midtown East,body-work
Upper East Side,others
BROOKLYN,body-work
Ave U ( Gravesend ),body-work
queens,hair-styling
Jamaica,hair-styling
Queend Bk Long island Manhattan,body-work
Midtown,hair-styling
Chelsea,others
LI to NYC,body-work
East Village,body-work
Union St & Northern Blvd,others
Astoria,body-work
BROOKLYN SUNSET PARK,body-work
Tuckahoe,body-work
Chelsea,hair-styling
Fresh Meadows,body-work
Marine Park,body-work
Longwood,body-work
Midtown East - Grand Central,others
Elmhurst,others
Queens village,others
brooklyn,body-work
Chinatown / Lit Italy,body-work
Midwood,body-work
Rosebank,body-work
NJ to manhattan,body-work
Carroll Gardens,hair-styling
Bronx,hair-styling
Staten island,hair-styling
Ozone Park Queens,others
Pelham,hair-styling
Jersey City,others
Danbury CT,body-work
QUEENS NY,hair-styling
brooklyn,others
Midtown West,others
New York,others
Upper West Sidetitle,body-work
bronx,body-work
New York City,body-work
Gramercy,others
